1. 3 		16. 1 		31. 1		46. 1		61. 1
2. 3 		17. 4		32. 1		47. 3		62. 4
3. 4 		18. 1		33. 3		48. 4		63. 4
4. 3 		19. 2		34. 2		49. 3		64. 4
5. 3 		20. 1		35. 2		50. 3		65. 주관식(공백)
6. 4 		21. 4		36. 1		51. 2		66. 1
7. 1 		22. 3		37. 3		52. 2		67. 3
8. 2 		23. 4		38. 1		53. 4		68. 4
9. 1 		24. 2		39. 1		54. 3		69. 1
10. 2		25. 4		40. 1		55. 2		70. 2
11. 4		26. 2		41. 2		56. 1		71. 3
12. 3		27. 3		42. 2		57. 4		72. 3
13. 2		28. 2		43. 1		58. 2		73. 1
14. 4		29. 1		44. 1		59. 3		74. 2
15. 4		30. 2		45. 2		60. GRANT	75. 2
